0,3,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,17,4,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,2,0,28,29,14,0,0
0,2,20,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,4,15,2,1,1,0,0,0,0,0,0,0,0,0,0,6
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,290,4,2,3,1,0,2,2,1,0,0,0,0,1,0,0,0,1
1,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,3,2,6,0,89,0,0,0,0
0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,0,0,1,0,1,0,7,0,0,0,0
16,7,2,0,0,0,0,0,6,70,0,0,0,0,0,1,0,0,0
0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
1,29,6,6,0,0,2,0,9,40,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,156,162,101,4,0,2,0,2,35,0,0,0,0,4,0,0,0,0
0,0,2,0,53,0,2,1,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0
8,286,43,2,3,1,5,12,21,9,1,2,80,3,13,51,2,1,1
0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,4,0,1,0,6,0,0,0,0
0,20,5,27,2,0,1,2,1,3,0,0,0,0,0,0,0,0,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,1,1,0,21,34,0,0,0,0,3,0,3,1,0,0,1
0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,2,0,29,0,0,0,0
0,28,2,0,3,0,2,1,1,0,0,0,1,0,1,1,0,0,8
0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
0,74,3,0,0,0,0,4,20,2,0,1,17,0,3,3,3,0,2
0,238,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1
0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
